R/O F,Placing,Language,Songwriter(s),Number of Languages,Number of Songwriter(s),Year
24.0,5.0,English,"David KreugerHamed ""K-One"" PirouzpanahRobin Stjernberg",1,3,2017
22.0,24.0,English,Zhenia GalychDenys MiziukYevhen HalychYevhen Kamenchuk,1,4,2017
18.0,15.0,English,Emmelie de ForestDaniel SalcedoLawrie Martin,1,3,2017
12.0,11.0,Albanian,Eugent Bushpepa,1,1,2018
16.0,20.0,English,David MusumeciAnthony EgiziiJessica Mauboy,1,3,2018
5.0,3.0,English,Borislav MilanovSebastian ArmanJoacim PerssonJohan AlkenäsCesár Sampson,1,5,2018
18.0,14.0,English,Borislav MilanovJoacim PerssonTrey CampbellDag Lundberg,1,4,2018
25.0,2.0,English[b],Alex PapaconstantinouGeraldo SandellAnderz WrethovViktor SvenssonDidrick,1,5,2018
14.0,6.0,English,Mikolas Josef,1,1,2018
15.0,9.0,English[z],Niclas ArnKarl Eurén,1,2,2018
6.0,8.0,Italian,Mihkel MattisenTimo VendtElina NechayevaKsenia Kuchukova,1,4,2018
17.0,25.0,English,Saara AaltoJoy DebLinnea DebKi Fitzgerald,1,4,2018
13.0,13.0,French,Émilie SattJean-Karl Lucas,1,2,2018
11.0,4.0,English,Michael SchulteThomas StengaardKatharina MüllerNisse Ingwersen,1,4,2018
21.0,21.0,Hungarian,Bence BruckerDániel KökényesÁron VeressSoma SchiszlerÖrs Siklósi,1,5,2018
24.0,16.0,English,Ryan O'ShaughnessyMark CapliceLaura Elizabeth Hughes,1,3,2018
22.0,1.0,English[x],Doron MedalieStav Beger,1,2,2018
26.0,5.0,Italian,Ermal MetaFabrizio MoroAndrea Febo,1,3,2018
4.0,12.0,English[w],Vytautas Bikus,1,1,2018
19.0,10.0,English,Philipp KirkorovJohn Ballard,1,2,2018
23.0,18.0,English,WaylonIlya ToshinskiyJim Beaver,1,3,2018
7.0,15.0,English,Alexander Rybak,1,1,2018
8.0,26.0,Portuguese,Isaura,1,1,2018
10.0,19.0,Serbian[y],Aleksandar IlićTatjana IlićDanica KrstićDarko Dimitrov,1,4,2018
3.0,22.0,Slovene[aa],Lea SirkTomy DeClerque,1,3,2018
2.0,23.0,Spanish,Raúl GómezSylvia Santoro,1,2,2018
20.0,7.0,English,Marco BorreroLouis SchoorlK NitaBenjamin Ingrosso,1,4,2018
1.0,17.0,English,Kostyantyn BocharovMike Ryals,1,2,2018
9.0,24.0,English,Nicole BlairGil LewisSean Hargreaves,1,3,2018
2.0,17.0,Albanian,Eriona Rushiti,1,1,2019
25.0,9.0,English,Kate Miller-HeidkeKeir NuttallJulian Hamilton,1,3,2019
20.0,8.0,English,Borislav MilanovJoacim PerssonTrey CampbellPablo DineroHostessChingiz Mustafayev,1,6,2019
19.0,24.0,English,Viktor DrobyshYuliya KireyevaZinaida Kupriyanovich,1,3,2019
11.0,13.0,English,Alex PapaconstantinouGeraldo SandellTeddy SkyViktor SvenssonAlbin NedlerKristoffer Fogelmark,1,6,2019
3.0,11.0,English,Jan SteinsdoerferMaciej Mikolaj TrybulecAlbert Černý,1,3,2019
6.0,12.0,"English, French[c][ac]",Lise CabbleMelanie WehbeEmil Lei,2,3,2019
18.0,20.0,English,Stig RästaVallo KikasVictor CroneSebastian LestapierFred Krieger,1,5,2019
21.0,16.0,"French, English",Émilie SattJean-Karl LucasBilal Hassani,2,3,2019
4.0,25.0,English,Laurell BarkerTom OehlerMarine KaltenbacherThomas Stengaard,1,4,2019
13.0,21.0,English,Katerine DuskaLeon of AthensDavid SneddonPhil Cook,1,4,2019
17.0,10.0,Icelandic,Einar Hrafn StefánssonKlemens Nikulásson HanniganMatthías Tryggvi Haraldsson,1,3,2019
14.0,23.0,English,Inbar WizmanOhad Shragai,1,2,2019
22.0,2.0,Italian[o],"Dario ""Dardust"" FainiAlessandro MahmoudPaolo Alberto Monachetti",1,3,2019
1.0,14.0,English,Borislav MilanovJoacim PerssonJohan AlkenäsPaula Winger,1,4,2019
12.0,1.0,English,Duncan de MoorJoel SjööWouter HardyWill Knox,1,4,2019
8.0,7.0,English,Robert BilbilovLazar CvetkoskiDarko DimitrovKosta PetrovSanja Popovska,1,5,2019
15.0,6.0,English[ad],Tom Hugo HermansenHenrik TalaFred BuljoRüdiger SchrammAlexander OlssonAlexandra Rotan,1,6,2019
5.0,3.0,English,Philipp KirkorovDimitris KontopoulosSharon Vaughn,1,3,2019
7.0,19.0,English[r],Serhat HacıpaşalıoğluMary Susan Applegate,1,2,2019
23.0,18.0,Serbian[h],Nevena BožovićDarko Dimitrov,1,2,2019
10.0,15.0,Slovene,Zala KraljGašper Šantl,1,2,2019
26.0,22.0,Spanish,Adrià Salas,1,1,2019
9.0,5.0,English,"John LundvikAnderz WrethovAndreas ""Stone"" Johansson",1,3,2019
24.0,4.0,English,Laurell BarkerFrazer MacLuca HänniJon HällgrenLukas Hällgren,1,5,2019
16.0,26.0,English,Laurell BarkerAnna-Klara FolinJohn LundvikJonas Thander,1,4,2019
2.0,21.0,Albanian,Kledi BahitiOlti Curri,1,2,2021
21.0,20.0,English[p],Amy van der WelLuuk van BeersJosh EarlTony Cornelissen,1,4,2021
4.0,19.0,English,Alex CallierCharlotte Forêt,1,2,2021
17.0,11.0,English,Victoria GeorgievaMaya NalaniOliver BjörkvallHelena Larsson,1,4,2021
1.0,16.0,English[b],"Laurell BarkerThomas StengaardJimmy ""Joker"" ThornfeldtCleiton ""Oxa"" Sia",1,4,2021
16.0,6.0,English,Aleksi KaunisvesiJoonas PorkoJoel HokkaNiko MoilanenOlli Matela,1,5,2021
20.0,2.0,French,"Barbara PraviAntoine ""Igit"" BarrauLili Poe",1,3,2021
15.0,25.0,English[c],Jendrik SigwartChristoph Oswald,1,2,2021
10.0,10.0,English,Dimitris KontopoulosArcadeSharon Vaughn,1,3,2021
12.0,4.0,English,Daði Freyr Pétursson,1,1,2021
3.0,17.0,English[x],Amit MordechaiIdo NetzerNoam ZlatinRon Carmi,1,4,2021
24.0,1.0,Italian,Damiano DavidEthan TorchioThomas RaggiVictoria De Angelis,1,4,2021
18.0,8.0,English,Vaidotas ValiukevičiusRobertas BaranauskasMantas BanišauskasLaisvūnas ČernovasIlkka WirtanenKalle Lindroth,1,6,2021
6.0,7.0,English[a],Malin ChristinAmanuel DermontNicklas EklundPete Barringer,1,4,2021
14.0,13.0,English,Philipp KirkorovDimitris KontopoulosSharon VaughnMikhail Gutseriev,1,4,2021
23.0,23.0,"English, Sranan Tongo",Jeangu MacrooyPieter Perquin,2,2,2021
22.0,18.0,English,Andreas HaukelandEmelie HollowMathias Haukeland,1,3,2021
7.0,12.0,English,"Pedro ""Tatanka"" Taborda",1,1,2021
5.0,9.0,"Russian, English",Ori AvniOri KaplanManizha Sanghin,2,3,2021
26.0,22.0,English[j],"Thomas StengaardJoy DebLinnea DebJimmy ""Joker"" ThornfeldtKenny SilverdiqueSuzi PancenkovMalou Linn Eloise RuotsalainenChanel TukiaSenhit Zadik ZadikTramar Dillard",1,10,2021
8.0,15.0,Serbian[b][h],Nemanja AntonićDarko DimitrovSanja Vučić,1,3,2021
13.0,24.0,Spanish,Blas CantóLeroy SanchezDangelo OrtegaDan Hammond,1,4,2021
25.0,14.0,English,"Joy DebLinnea DebJimmy ""Joker"" ThörnfeldtAnderz Wrethov",1,4,2021
11.0,3.0,French,Gjon MuharremajWouter HardyNina SampermansXavier Michel,1,4,2021
19.0,5.0,Ukrainian,Taras ShevchenkoKateryna Pavlenko,1,2,2021
9.0,26.0,English,James NewmanConor BlakeDanny ShahTom HollingsSamuel Brennan,1,5,2021
