Country,Song,Artist,F/SF,Year,Points,R/O,Place,Contest_Location,Jury_1.0,Jury_2.0,Jury_3.0,Jury_4.0,Jury_5.0,Jury_6.0,Jury_7.0,Jury_8.0,Jury_10.0,Jury_12.0,Crowd_1,Crowd_2,Crowd_3,Crowd_4,Crowd_5,Crowd_6,Crowd_7,Crowd_8,Crowd_10,Crowd_12,No. of neighbours,Albania,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bosnia & Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Morocco,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
Greece,Miazoume,Takis Biniaris,Final,1985,15.0,19,16,Gothenburg ,Norway,Israel,Switzerland,United Kingdom,Austria,Spain,Portugal,Cyprus,Finland,France,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ireland,Wait Until The Weekend Comes,Maria Christian,Final,1985,91.0,1,6,Gothenburg ,Cyprus,Spain,Austria,Germany,United Kingdom,Finland,Turkey,Israel,Sweden,Norway,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Israel,Olé Olé,Izhar Cohen,Final,1985,93.0,11,5,Gothenburg ,Finland,United Kingdom,France,Italy,Luxembourg,Sweden,Germany,Ireland,Austria,Norway,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,"Magic, Oh Magic",Al Bano and Romina Power,Final,1985,78.0,12,7,Gothenburg ,Luxembourg,Denmark,Cyprus,Sweden,Israel,Norway,Finland,United Kingdom,France,Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Luxembourg,"Children, Kinder, Enfants","Margo, Franck, Diane, Ireen, Malcolm & Chris",Final,1985,37.0,18,13,Gothenburg ,Spain,Switzerland,France,Austria,Sweden,Israel,Norway,United Kingdom,Germany,Italy,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,La Det Swinge,Bobbysocks,Final,1985,123.0,13,1,Gothenburg ,Turkey,Austria,Ireland,Luxembourg,Switzerland,Denmark,United Kingdom,Germany,Israel,Sweden,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Portugal,"Penso Em Ti, Eu Sei",Adelaïde,Final,1985,9.0,9,18,Gothenburg ,Denmark,Spain,France,Switzerland,Israel,United Kingdom,Germany,Ireland,Luxembourg,Italy,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Spain,La Fiesta Terminó,Paloma San Basilio,Final,1985,36.0,5,14,Gothenburg ,Norway,Sweden,Turkey,Ireland,United Kingdom,Finland,Greece,Israel,Germany,Italy,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Sweden,Bra Vibrationer,Kikki Danielsson,Final,1985,103.0,16,3,Gothenburg ,Switzerland,Israel,Austria,United Kingdom,Denmark,France,Ireland,Germany,Finland,Norway,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,Piano Piano,Mariella Farré & Pino Gasparini,Final,1985,39.0,15,12,Gothenburg ,Austria,Finland,Cyprus,France,Ireland,Norway,Israel,Sweden,United Kingdom,Turkey,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,Di Dai Di Dai Dai (Aşık oldum),MFÖ,Final,1985,36.0,7,14,Gothenburg ,France,Portugal,Finland,Sweden,Ireland,Switzerland,Belgium,Italy,United Kingdom,Spain,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Love Is...,Vikki,Final,1985,100.0,14,4,Gothenburg ,Germany,France,Ireland,Spain,Israel,Sweden,Finland,Turkey,Austria,Norway,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Die Zeit Ist Einsam,Timna Brauer,Final,1986,12.0,16,18,Bergen ,Yugoslavia,Turkey,United Kingdom,Switzerland,Sweden,Belgium,Spain,Germany,Luxembourg,Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Belgium,J'aime La Vie,Sandra Kim,Final,1986,176.0,13,1,Bergen ,Austria,Ireland,Spain,Yugoslavia,Norway,Turkey,Germany,Finland,Luxembourg,Switzerland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Tora Zo,Elpida,Final,1986,4.0,15,20,Bergen ,Netherlands,United Kingdom,Finland,Iceland,Switzerland,Norway,Denmark,Luxembourg,Belgium,Yugoslavia,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Denmark,Du Er Fuld Af Løgn,Lise Haavik & Trax,Final,1986,77.0,18,6,Bergen ,Portugal,Luxembourg,Spain,Switzerland,Norway,Sweden,Germany,United Kingdom,Belgium,Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,Päivä Kahden Ihmisen,Kari Kuivalainen,Final,1986,22.0,19,15,Bergen ,Spain,Germany,Netherlands,Luxembourg,Sweden,Austria,Switzerland,Ireland,United Kingdom,Belgium,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
France,Européennes,Cocktail Chic,Final,1986,13.0,3,17,Bergen ,Israel,Sweden,Ireland,Norway,Denmark,Spain,Switzerland,Luxembourg,United Kingdom,Belgium,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Germany,Über Die Brücke Geh'n,Ingrid Peters,Final,1986,62.0,14,8,Bergen ,Belgium,Austria,Finland,Sweden,United Kingdom,Norway,Denmark,Turkey,Netherlands,Luxembourg,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,9,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Iceland,Gleðibankinn,Icy,Final,1986,19.0,6,16,Bergen ,Luxembourg,Spain,Switzerland,Norway,Yugoslavia,Finland,Denmark,Ireland,Belgium,Sweden,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,You Can Count On Me,Luv Bug,Final,1986,96.0,12,4,Bergen ,Cyprus,Austria,Yugoslavia,Denmark,Spain,Norway,Luxembourg,Germany,Switzerland,Belgium,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Israel,Yavoh Yom,Moti Galadi and Sarai Tzuriel,Final,1986,7.0,11,19,Bergen ,Yugoslavia,United Kingdom,Turkey,Luxembourg,Belgium,Ireland,Portugal,Netherlands,Denmark,Switzerland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,L'amour De Ma Vie,Sherisse Laurence,Final,1986,117.0,1,3,Bergen ,Netherlands,Yugoslavia,Ireland,United Kingdom,Sweden,Turkey,Spain,Germany,Belgium,Switzerland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,Alles Heeft Ritme,Frizzle Sizzle,Final,1986,40.0,7,13,Bergen ,Finland,Norway,Sweden,Denmark,Iceland,Turkey,Yugoslavia,Luxembourg,Belgium,Switzerland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,Romeo,Ketil Stokkan,Final,1986,44.0,4,12,Bergen ,Israel,Ireland,France,Portugal,Switzerland,United Kingdom,Sweden,Belgium,Denmark,Luxembourg,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Portugal,Não Sejas Mau Para Mim,Dora,Final,1986,28.0,20,14,Bergen ,Austria,United Kingdom,Spain,Germany,Denmark,Luxembourg,Netherlands,Ireland,Switzerland,Belgium,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Spain,Valentino,Cadillac,Final,1986,51.0,9,10,Bergen ,Netherlands,United Kingdom,Yugoslavia,Switzerland,Denmark,Iceland,Sweden,Portugal,Belgium,Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Sweden,E' De' Det Här Du Kallar Kärlek,Lasse Holm & Monica Törnell,Final,1986,78.0,17,5,Bergen ,Yugoslavia,Iceland,France,Denmark,Germany,Belgium,Ireland,United Kingdom,Luxembourg,Switzerland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,Pas Pour Moi,Daniela Simons,Final,1986,140.0,10,2,Bergen ,Spain,Luxembourg,Denmark,United Kingdom,Israel,Norway,France,Turkey,Belgium,Sweden,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,Halley,Klips & Onlar,Final,1986,53.0,8,9,Bergen ,Finland,Iceland,Yugoslavia,Portugal,Ireland,United Kingdom,Netherlands,Spain,Switzerland,Belgium,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Runner In The Night,Ryder,Final,1986,72.0,5,7,Bergen ,Spain,Turkey,Sweden,Portugal,Switzerland,Denmark,Yugoslavia,Luxembourg,Belgium,Germany,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yugoslavia,Željo Moja,Doris Dragović,Final,1986,49.0,2,11,Bergen ,Germany,Netherlands,Cyprus,Spain,Luxembourg,Switzerland,Sweden,Ireland,Belgium,Turkey,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Nur Noch Gefühl,Gary Lux,Final,1987,8.0,3,20,Brussels ,Israel,Netherlands,Belgium,Norway,United Kingdom,Italy,Denmark,Yugoslavia,Germany,Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Belgium,Soldiers Of Love,Liliane Saint-Pierre,Final,1987,56.0,5,11,Brussels ,Sweden,Greece,United Kingdom,Iceland,Italy,Israel,Norway,Yugoslavia,Germany,Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Aspro Mavro,Alexia,Final,1987,80.0,17,7,Brussels ,Italy,United Kingdom,Norway,Switzerland,Belgium,Germany,Sweden,Ireland,Yugoslavia,Greece,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Denmark,En Lille Melodi,Anne-Cathrine Herdorf,Final,1987,83.0,19,5,Brussels ,Switzerland,Netherlands,Norway,United Kingdom,Ireland,Greece,Sweden,Yugoslavia,Cyprus,Germany,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,Sata Salamaa,Vicky Rosti,Final,1987,32.0,18,15,Brussels ,United Kingdom,Netherlands,Belgium,Italy,Norway,Cyprus,Israel,Denmark,Germany,Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
France,Les Mots D'amour N'ont Pas De Dimanche,Christine Minier,Final,1987,44.0,15,14,Brussels ,Ireland,Yugoslavia,Sweden,Norway,Cyprus,Germany,Greece,Denmark,Israel,Netherlands,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Germany,Laß Die Sonne In Dein Herz,Wind,Final,1987,141.0,16,2,Brussels ,Finland,Portugal,Cyprus,Belgium,France,Ireland,Norway,Israel,Iceland,Italy,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,9,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Greece,Stop!,Bang,Final,1987,64.0,11,10,Brussels ,Finland,Yugoslavia,Netherlands,France,Portugal,Iceland,Austria,Denmark,Spain,Cyprus,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Iceland,Hægt Og Hljótt,Halla Margarét,Final,1987,28.0,4,16,Brussels ,Greece,Switzerland,Italy,France,Israel,Cyprus,Denmark,Sweden,Yugoslavia,Germany,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,Hold Me Now,Johnny Logan,Final,1987,172.0,20,1,Brussels ,Yugoslavia,Norway,United Kingdom,Denmark,Israel,Netherlands,Germany,Cyprus,France,Italy,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Israel,Shir Habatlanim,Datner & Kushnir,Final,1987,73.0,2,8,Brussels ,Switzerland,Belgium,Italy,Ireland,Netherlands,Denmark,Yugoslavia,Germany,United Kingdom,Sweden,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Gente Di Mare,Umberto Tozzi and Raf,Final,1987,103.0,7,3,Brussels ,Austria,Denmark,Sweden,Germany,France,Belgium,Norway,Greece,Netherlands,Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Luxembourg,Amour Amour,Plastic Bertrand,Final,1987,4.0,13,21,Brussels ,United Kingdom,Finland,Switzerland,Italy,Belgium,Germany,Greece,Netherlands,Ireland,France,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,Rechtop In De Wind,Marcha,Final,1987,83.0,12,5,Brussels ,France,Cyprus,Israel,Norway,Greece,Denmark,Switzerland,Finland,Germany,Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,Mitt Liv,Kate Gulbrandsen,Final,1987,65.0,1,9,Brussels ,France,Israel,Germany,Iceland,Belgium,Cyprus,Denmark,Ireland,Finland,Yugoslavia,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Portugal,Neste Barco à Vela,Nevada,Final,1987,15.0,8,18,Brussels ,Denmark,Luxembourg,United Kingdom,Finland,Germany,Yugoslavia,Sweden,Ireland,Israel,Italy,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Spain,No Estás Solo,Patricia Kraus,Final,1987,10.0,9,19,Brussels ,Germany,Finland,Norway,Iceland,Netherlands,Yugoslavia,Belgium,Portugal,Ireland,Italy,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Sweden,Boogaloo,Lotta Engberg,Final,1987,50.0,6,12,Brussels ,Italy,Cyprus,Finland,Israel,United Kingdom,Greece,Germany,Denmark,Norway,Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,Moitié Moitié,Carole Rich,Final,1987,26.0,22,17,Brussels ,Germany,France,Denmark,Cyprus,United Kingdom,Norway,Italy,Israel,Netherlands,Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,Şarkım sevgi üstüne,Seyyal Taner & Lokomotif,Final,1987,0.0,10,22,Brussels ,Denmark,Sweden,United Kingdom,Belgium,Switzerland,Germany,Netherlands,Italy,Ireland,Yugoslavia,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Only The Light,Rikki,Final,1987,47.0,14,13,Brussels ,Italy,Luxembourg,Netherlands,Israel,Greece,Cyprus,Denmark,Belgium,Germany,Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
