Country,Song,Artist,F/SF,Year,Points,R/O,Place,Contest_Location,Jury_1.0,Jury_2.0,Jury_3.0,Jury_4.0,Jury_5.0,Jury_6.0,Jury_7.0,Jury_8.0,Jury_10.0,Jury_12.0
United Kingdom,One Step Further,Bardo,Final,1982,76.0,4,7,Harrogate ,Israel,Belgium,Cyprus,Portugal,Sweden,Luxembourg,Ireland,Germany,Austria,Switzerland
Yugoslavia,Halo Halo,Aska,Final,1982,21.0,14,14,Harrogate ,Spain,Sweden,Israel,Austria,Cyprus,United Kingdom,Belgium,Ireland,Switzerland,Germany
Austria,Hurricane,Westend,Final,1983,53.0,18,9,Munich ,Yugoslavia,Finland,Norway,Netherlands,Luxembourg,Switzerland,Germany,Sweden,United Kingdom,Israel
Belgium,Rendez-vous,Pas de Deux,Final,1983,13.0,19,18,Munich ,Switzerland,Netherlands,Austria,Cyprus,Sweden,Germany,Norway,Luxembourg,Israel,Yugoslavia
Cyprus,I Agapi Akoma Zi,Stavros and Constantina,Final,1983,26.0,13,16,Munich ,Italy,Denmark,Austria,France,Netherlands,United Kingdom,Sweden,Yugoslavia,Luxembourg,Greece
Denmark,Kloden Drejer,Gry Johansen,Final,1983,16.0,15,17,Munich ,Cyprus,Luxembourg,Germany,Netherlands,United Kingdom,Austria,Israel,Norway,Sweden,Yugoslavia
Finland,Fantasiaa,Ami Aspelund,Final,1983,41.0,9,11,Munich ,Italy,Portugal,Netherlands,Germany,Greece,France,Israel,Luxembourg,Sweden,Yugoslavia
France,Vivre,Guy Bonnet,Final,1983,56.0,1,8,Munich ,Finland,Netherlands,Greece,Portugal,United Kingdom,Sweden,Italy,Israel,Germany,Luxembourg
Germany,Rücksicht,Hoffmann und Hoffmann,Final,1983,94.0,14,5,Munich ,Norway,Netherlands,United Kingdom,France,Cyprus,Yugoslavia,Finland,Luxembourg,Israel,Sweden
Greece,Mou Les,Christie Stassinopoulou,Final,1983,32.0,10,14,Munich ,Germany,Italy,Israel,Austria,United Kingdom,Yugoslavia,France,Finland,Sweden,Luxembourg
Israel,Hi,Ofra Haza,Final,1983,136.0,16,2,Munich ,France,Austria,Netherlands,Norway,Cyprus,Italy,Finland,Sweden,Yugoslavia,Luxembourg
Italy,Per Lucia,Riccardo Fogli,Final,1983,41.0,5,11,Munich ,Yugoslavia,United Kingdom,Israel,Netherlands,Austria,Germany,Switzerland,Sweden,France,Luxembourg
Luxembourg,Si La Vie Est Cadeau,Corinne Hermès,Final,1983,142.0,20,1,Munich ,Finland,Norway,France,Netherlands,Switzerland,United Kingdom,Portugal,Yugoslavia,Israel,Germany
Netherlands,Sing Me A Song,Bernadette,Final,1983,66.0,11,7,Munich ,Luxembourg,France,Sweden,Austria,United Kingdom,Portugal,Yugoslavia,Norway,Germany,Israel
Norway,Do Re Mi,Jahn Teigen,Final,1983,53.0,2,9,Munich ,Switzerland,Finland,France,Cyprus,United Kingdom,Israel,Netherlands,Yugoslavia,Germany,Sweden
Portugal,Esta Balada Que Te Dou,Armando Gama,Final,1983,33.0,17,13,Munich ,Belgium,United Kingdom,France,Sweden,Austria,Norway,Italy,Germany,Israel,Luxembourg
Spain,¿Quién Maneja Mi Barca?,Remedios Amaya,Final,1983,0.0,7,19,Munich ,Switzerland,Sweden,Italy,Denmark,Portugal,Israel,Luxembourg,Belgium,Yugoslavia,Greece
Sweden,Främling,Carola Häggkvist,Final,1983,126.0,4,3,Munich ,Portugal,Italy,Norway,Austria,Israel,Netherlands,Denmark,Germany,Luxembourg,United Kingdom
Switzerland,Io Così Non Ci Sto,Mariella Farré,Final,1983,28.0,8,15,Munich ,Cyprus,Germany,Luxembourg,Finland,Sweden,Portugal,Israel,United Kingdom,France,Netherlands
Turkey,Opera,Çetin Alp and the Short Wave,Final,1983,0.0,6,19,Munich ,Denmark,Netherlands,Finland,Italy,United Kingdom,Norway,Sweden,Luxembourg,Austria,Yugoslavia
United Kingdom,I'm Never Giving Up,Sweet Dreams,Final,1983,79.0,3,6,Munich ,Netherlands,Denmark,Austria,Belgium,Norway,Finland,Germany,Sweden,Israel,Yugoslavia
Yugoslavia,Dzuli,Danijel,Final,1983,125.0,12,4,Munich ,Sweden,Portugal,France,Austria,Netherlands,Cyprus,Switzerland,Italy,Israel,Luxembourg
Austria,Einfach Weg,Anita,Final,1984,5.0,13,19,Luxembourg ,Germany,United Kingdom,Belgium,Denmark,Finland,Spain,Italy,France,Ireland,Sweden
Belgium,Avanti La Vie,Jacques Zegers,Final,1984,70.0,8,5,Luxembourg ,Norway,United Kingdom,Spain,Turkey,Switzerland,Germany,Sweden,Denmark,France,Ireland
Cyprus,Anna Maria Lena,Andy Paul,Final,1984,31.0,7,15,Luxembourg ,Switzerland,United Kingdom,France,Finland,Denmark,Spain,Luxembourg,Yugoslavia,Ireland,Sweden
Denmark,Det' Lige Det,Hot Eyes,Final,1984,101.0,10,4,Luxembourg ,United Kingdom,Germany,Ireland,Austria,Luxembourg,Finland,Spain,Switzerland,Cyprus,Sweden
Finland,Hengaillaan,Kirka,Final,1984,46.0,16,9,Luxembourg ,Switzerland,Yugoslavia,Turkey,United Kingdom,Denmark,Norway,Ireland,Sweden,Belgium,Italy
France,Autant D'amoureux Que D'étoiles,Annick Thoumazeau,Final,1984,61.0,3,8,Luxembourg ,Cyprus,Yugoslavia,Ireland,Germany,Finland,Sweden,Netherlands,Denmark,Spain,Belgium
Germany,Aufrecht Geh'n,Mary Roos,Final,1984,34.0,14,13,Luxembourg ,Finland,Norway,Yugoslavia,Belgium,Denmark,Italy,United Kingdom,Portugal,Ireland,Sweden
Ireland,Terminal '3',Linda Martin,Final,1984,137.0,9,2,Luxembourg ,Austria,Turkey,Norway,Cyprus,Luxembourg,Netherlands,Spain,United Kingdom,Denmark,Sweden
Italy,I Treni Di Tozeur,Alice & Battiato,Final,1984,70.0,18,5,Luxembourg ,Belgium,Germany,Luxembourg,Switzerland,Denmark,Sweden,France,Spain,United Kingdom,Ireland
Luxembourg,100% D'amour,Sophie Carle,Final,1984,39.0,2,10,Luxembourg ,United Kingdom,Netherlands,Denmark,Portugal,Ireland,Sweden,Norway,Spain,Italy,Belgium
Netherlands,Ik Hou Van Jou,Maribelle,Final,1984,34.0,11,13,Luxembourg ,Turkey,Spain,Denmark,United Kingdom,Germany,Portugal,Ireland,Belgium,Sweden,France
Norway,Lenge Leve Livet,Dollie de Luxe,Final,1984,29.0,5,17,Luxembourg ,Italy,France,Belgium,Ireland,Finland,Spain,Germany,United Kingdom,Sweden,Denmark
Portugal,Silêncio E Tanta Gente,Maria Guinot,Final,1984,38.0,19,11,Luxembourg ,Denmark,Ireland,Finland,Sweden,Germany,United Kingdom,France,Italy,Belgium,Spain
Spain,"Lady, Lady",Bravo,Final,1984,106.0,4,3,Luxembourg ,Finland,Belgium,United Kingdom,Sweden,Portugal,Denmark,Luxembourg,Netherlands,Ireland,Italy
Sweden,Diggi-loo Diggy-ley,Herrey's,Final,1984,145.0,1,1,Luxembourg ,Switzerland,France,United Kingdom,Cyprus,Denmark,Turkey,Finland,Norway,Spain,Ireland
Switzerland,Welche Farbe Hat Der Sonnenschein,Rainy Day,Final,1984,30.0,17,16,Luxembourg ,Denmark,Norway,Spain,France,Netherlands,Turkey,Italy,Portugal,Sweden,Ireland
Turkey,Halay,"Bes Yil Önce, On Yil Sonra",Final,1984,37.0,15,12,Luxembourg ,United Kingdom,Denmark,Sweden,Luxembourg,Belgium,Finland,Italy,Yugoslavia,Ireland,Spain
United Kingdom,Love Games,Belle and the Devotions,Final,1984,63.0,6,7,Luxembourg ,Netherlands,Germany,Yugoslavia,Spain,Turkey,France,Sweden,Ireland,Switzerland,Denmark
Yugoslavia,Ciao Amore,Vlado and Isolda,Final,1984,26.0,12,18,Luxembourg ,United Kingdom,Spain,Finland,Sweden,Netherlands,Denmark,Portugal,Luxembourg,Turkey,Cyprus
Austria,Kinder Dieser Welt,Gary Lux,Final,1985,60.0,17,8,Gothenburg ,Switzerland,United Kingdom,France,Sweden,Denmark,Italy,Israel,Luxembourg,Ireland,Norway
Belgium,Laat Me Nu Gaan,Linda Lepomme,Final,1985,7.0,8,19,Gothenburg ,Turkey,Italy,Denmark,Austria,Switzerland,United Kingdom,Sweden,Ireland,Germany,Norway
Cyprus,To Katalava Arga,Lia Vishy,Final,1985,15.0,3,16,Gothenburg ,Spain,Switzerland,Denmark,France,Israel,Finland,Ireland,Greece,Italy,Germany
Denmark,Sku' du spørg' fra no'en,Hot Eyes,Final,1985,41.0,4,11,Gothenburg ,Italy,Luxembourg,Ireland,Israel,United Kingdom,Switzerland,Austria,Sweden,Germany,Norway
Finland,Eläköön Elämä,Sonja Lumme,Final,1985,58.0,2,9,Gothenburg ,Ireland,Turkey,Switzerland,Norway,France,Italy,United Kingdom,Spain,Germany,Sweden
France,Femme Dans Ses Rêves Aussi,Roger Bens,Final,1985,56.0,6,10,Gothenburg ,Austria,Norway,Ireland,Luxembourg,Italy,United Kingdom,Sweden,Germany,Denmark,Israel
Germany,Für Alle,Wind,Final,1985,105.0,10,2,Gothenburg ,Switzerland,Turkey,Luxembourg,Ireland,United Kingdom,Denmark,Israel,Sweden,Austria,Norway
Greece,Miazoume,Takis Biniaris,Final,1985,15.0,19,16,Gothenburg ,Norway,Israel,Switzerland,United Kingdom,Austria,Spain,Portugal,Cyprus,Finland,France
Ireland,Wait Until The Weekend Comes,Maria Christian,Final,1985,91.0,1,6,Gothenburg ,Cyprus,Spain,Austria,Germany,United Kingdom,Finland,Turkey,Israel,Sweden,Norway
Israel,Olé Olé,Izhar Cohen,Final,1985,93.0,11,5,Gothenburg ,Finland,United Kingdom,France,Italy,Luxembourg,Sweden,Germany,Ireland,Austria,Norway
Italy,"Magic, Oh Magic",Al Bano and Romina Power,Final,1985,78.0,12,7,Gothenburg ,Luxembourg,Denmark,Cyprus,Sweden,Israel,Norway,Finland,United Kingdom,France,Ireland
Luxembourg,"Children, Kinder, Enfants","Margo, Franck, Diane, Ireen, Malcolm & Chris",Final,1985,37.0,18,13,Gothenburg ,Spain,Switzerland,France,Austria,Sweden,Israel,Norway,United Kingdom,Germany,Italy
Norway,La Det Swinge,Bobbysocks,Final,1985,123.0,13,1,Gothenburg ,Turkey,Austria,Ireland,Luxembourg,Switzerland,Denmark,United Kingdom,Germany,Israel,Sweden
Portugal,"Penso Em Ti, Eu Sei",Adelaïde,Final,1985,9.0,9,18,Gothenburg ,Denmark,Spain,France,Switzerland,Israel,United Kingdom,Germany,Ireland,Luxembourg,Italy
Spain,La Fiesta Terminó,Paloma San Basilio,Final,1985,36.0,5,14,Gothenburg ,Norway,Sweden,Turkey,Ireland,United Kingdom,Finland,Greece,Israel,Germany,Italy
Sweden,Bra Vibrationer,Kikki Danielsson,Final,1985,103.0,16,3,Gothenburg ,Switzerland,Israel,Austria,United Kingdom,Denmark,France,Ireland,Germany,Finland,Norway
Switzerland,Piano Piano,Mariella Farré & Pino Gasparini,Final,1985,39.0,15,12,Gothenburg ,Austria,Finland,Cyprus,France,Ireland,Norway,Israel,Sweden,United Kingdom,Turkey
Turkey,Di Dai Di Dai Dai (Aşık oldum),MFÖ,Final,1985,36.0,7,14,Gothenburg ,France,Portugal,Finland,Sweden,Ireland,Switzerland,Belgium,Italy,United Kingdom,Spain
United Kingdom,Love Is...,Vikki,Final,1985,100.0,14,4,Gothenburg ,Germany,France,Ireland,Spain,Israel,Sweden,Finland,Turkey,Austria,Norway
Austria,Die Zeit Ist Einsam,Timna Brauer,Final,1986,12.0,16,18,Bergen ,Yugoslavia,Turkey,United Kingdom,Switzerland,Sweden,Belgium,Spain,Germany,Luxembourg,Ireland
Belgium,J'aime La Vie,Sandra Kim,Final,1986,176.0,13,1,Bergen ,Austria,Ireland,Spain,Yugoslavia,Norway,Turkey,Germany,Finland,Luxembourg,Switzerland
Cyprus,Tora Zo,Elpida,Final,1986,4.0,15,20,Bergen ,Netherlands,United Kingdom,Finland,Iceland,Switzerland,Norway,Denmark,Luxembourg,Belgium,Yugoslavia
Denmark,Du Er Fuld Af Løgn,Lise Haavik & Trax,Final,1986,77.0,18,6,Bergen ,Portugal,Luxembourg,Spain,Switzerland,Norway,Sweden,Germany,United Kingdom,Belgium,Ireland
Finland,Päivä Kahden Ihmisen,Kari Kuivalainen,Final,1986,22.0,19,15,Bergen ,Spain,Germany,Netherlands,Luxembourg,Sweden,Austria,Switzerland,Ireland,United Kingdom,Belgium
France,Européennes,Cocktail Chic,Final,1986,13.0,3,17,Bergen ,Israel,Sweden,Ireland,Norway,Denmark,Spain,Switzerland,Luxembourg,United Kingdom,Belgium
Germany,Über Die Brücke Geh'n,Ingrid Peters,Final,1986,62.0,14,8,Bergen ,Belgium,Austria,Finland,Sweden,United Kingdom,Norway,Denmark,Turkey,Netherlands,Luxembourg
Iceland,Gleðibankinn,Icy,Final,1986,19.0,6,16,Bergen ,Luxembourg,Spain,Switzerland,Norway,Yugoslavia,Finland,Denmark,Ireland,Belgium,Sweden
Ireland,You Can Count On Me,Luv Bug,Final,1986,96.0,12,4,Bergen ,Cyprus,Austria,Yugoslavia,Denmark,Spain,Norway,Luxembourg,Germany,Switzerland,Belgium
Israel,Yavoh Yom,Moti Galadi and Sarai Tzuriel,Final,1986,7.0,11,19,Bergen ,Yugoslavia,United Kingdom,Turkey,Luxembourg,Belgium,Ireland,Portugal,Netherlands,Denmark,Switzerland
Luxembourg,L'amour De Ma Vie,Sherisse Laurence,Final,1986,117.0,1,3,Bergen ,Netherlands,Yugoslavia,Ireland,United Kingdom,Sweden,Turkey,Spain,Germany,Belgium,Switzerland
Netherlands,Alles Heeft Ritme,Frizzle Sizzle,Final,1986,40.0,7,13,Bergen ,Finland,Norway,Sweden,Denmark,Iceland,Turkey,Yugoslavia,Luxembourg,Belgium,Switzerland
Norway,Romeo,Ketil Stokkan,Final,1986,44.0,4,12,Bergen ,Israel,Ireland,France,Portugal,Switzerland,United Kingdom,Sweden,Belgium,Denmark,Luxembourg
Portugal,Não Sejas Mau Para Mim,Dora,Final,1986,28.0,20,14,Bergen ,Austria,United Kingdom,Spain,Germany,Denmark,Luxembourg,Netherlands,Ireland,Switzerland,Belgium
Spain,Valentino,Cadillac,Final,1986,51.0,9,10,Bergen ,Netherlands,United Kingdom,Yugoslavia,Switzerland,Denmark,Iceland,Sweden,Portugal,Belgium,Ireland
Sweden,E' De' Det Här Du Kallar Kärlek,Lasse Holm & Monica Törnell,Final,1986,78.0,17,5,Bergen ,Yugoslavia,Iceland,France,Denmark,Germany,Belgium,Ireland,United Kingdom,Luxembourg,Switzerland
Switzerland,Pas Pour Moi,Daniela Simons,Final,1986,140.0,10,2,Bergen ,Spain,Luxembourg,Denmark,United Kingdom,Israel,Norway,France,Turkey,Belgium,Sweden
Turkey,Halley,Klips & Onlar,Final,1986,53.0,8,9,Bergen ,Finland,Iceland,Yugoslavia,Portugal,Ireland,United Kingdom,Netherlands,Spain,Switzerland,Belgium
United Kingdom,Runner In The Night,Ryder,Final,1986,72.0,5,7,Bergen ,Spain,Turkey,Sweden,Portugal,Switzerland,Denmark,Yugoslavia,Luxembourg,Belgium,Germany
Yugoslavia,Željo Moja,Doris Dragović,Final,1986,49.0,2,11,Bergen ,Germany,Netherlands,Cyprus,Spain,Luxembourg,Switzerland,Sweden,Ireland,Belgium,Turkey
Austria,Nur Noch Gefühl,Gary Lux,Final,1987,8.0,3,20,Brussels ,Israel,Netherlands,Belgium,Norway,United Kingdom,Italy,Denmark,Yugoslavia,Germany,Ireland
Belgium,Soldiers Of Love,Liliane Saint-Pierre,Final,1987,56.0,5,11,Brussels ,Sweden,Greece,United Kingdom,Iceland,Italy,Israel,Norway,Yugoslavia,Germany,Ireland
Cyprus,Aspro Mavro,Alexia,Final,1987,80.0,17,7,Brussels ,Italy,United Kingdom,Norway,Switzerland,Belgium,Germany,Sweden,Ireland,Yugoslavia,Greece
Denmark,En Lille Melodi,Anne-Cathrine Herdorf,Final,1987,83.0,19,5,Brussels ,Switzerland,Netherlands,Norway,United Kingdom,Ireland,Greece,Sweden,Yugoslavia,Cyprus,Germany
Finland,Sata Salamaa,Vicky Rosti,Final,1987,32.0,18,15,Brussels ,United Kingdom,Netherlands,Belgium,Italy,Norway,Cyprus,Israel,Denmark,Germany,Ireland
France,Les Mots D'amour N'ont Pas De Dimanche,Christine Minier,Final,1987,44.0,15,14,Brussels ,Ireland,Yugoslavia,Sweden,Norway,Cyprus,Germany,Greece,Denmark,Israel,Netherlands
Germany,Laß Die Sonne In Dein Herz,Wind,Final,1987,141.0,16,2,Brussels ,Finland,Portugal,Cyprus,Belgium,France,Ireland,Norway,Israel,Iceland,Italy
Greece,Stop!,Bang,Final,1987,64.0,11,10,Brussels ,Finland,Yugoslavia,Netherlands,France,Portugal,Iceland,Austria,Denmark,Spain,Cyprus
Iceland,Hægt Og Hljótt,Halla Margarét,Final,1987,28.0,4,16,Brussels ,Greece,Switzerland,Italy,France,Israel,Cyprus,Denmark,Sweden,Yugoslavia,Germany
Ireland,Hold Me Now,Johnny Logan,Final,1987,172.0,20,1,Brussels ,Yugoslavia,Norway,United Kingdom,Denmark,Israel,Netherlands,Germany,Cyprus,France,Italy
Israel,Shir Habatlanim,Datner & Kushnir,Final,1987,73.0,2,8,Brussels ,Switzerland,Belgium,Italy,Ireland,Netherlands,Denmark,Yugoslavia,Germany,United Kingdom,Sweden
Italy,Gente Di Mare,Umberto Tozzi and Raf,Final,1987,103.0,7,3,Brussels ,Austria,Denmark,Sweden,Germany,France,Belgium,Norway,Greece,Netherlands,Ireland
Luxembourg,Amour Amour,Plastic Bertrand,Final,1987,4.0,13,21,Brussels ,United Kingdom,Finland,Switzerland,Italy,Belgium,Germany,Greece,Netherlands,Ireland,France
Netherlands,Rechtop In De Wind,Marcha,Final,1987,83.0,12,5,Brussels ,France,Cyprus,Israel,Norway,Greece,Denmark,Switzerland,Finland,Germany,Ireland
Norway,Mitt Liv,Kate Gulbrandsen,Final,1987,65.0,1,9,Brussels ,France,Israel,Germany,Iceland,Belgium,Cyprus,Denmark,Ireland,Finland,Yugoslavia
Portugal,Neste Barco à Vela,Nevada,Final,1987,15.0,8,18,Brussels ,Denmark,Luxembourg,United Kingdom,Finland,Germany,Yugoslavia,Sweden,Ireland,Israel,Italy
Spain,No Estás Solo,Patricia Kraus,Final,1987,10.0,9,19,Brussels ,Germany,Finland,Norway,Iceland,Netherlands,Yugoslavia,Belgium,Portugal,Ireland,Italy
Sweden,Boogaloo,Lotta Engberg,Final,1987,50.0,6,12,Brussels ,Italy,Cyprus,Finland,Israel,United Kingdom,Greece,Germany,Denmark,Norway,Ireland
Switzerland,Moitié Moitié,Carole Rich,Final,1987,26.0,22,17,Brussels ,Germany,France,Denmark,Cyprus,United Kingdom,Norway,Italy,Israel,Netherlands,Ireland
Turkey,Şarkım sevgi üstüne,Seyyal Taner & Lokomotif,Final,1987,0.0,10,22,Brussels ,Denmark,Sweden,United Kingdom,Belgium,Switzerland,Germany,Netherlands,Italy,Ireland,Yugoslavia
United Kingdom,Only The Light,Rikki,Final,1987,47.0,14,13,Brussels ,Italy,Luxembourg,Netherlands,Israel,Greece,Cyprus,Denmark,Belgium,Germany,Ireland
Yugoslavia,Ja Sam Za Ples,Novi Fosili,Final,1987,92.0,21,4,Brussels ,Finland,United Kingdom,Switzerland,Belgium,Greece,Ireland,Germany,Netherlands,Cyprus,Italy
Austria,Lisa Mona Lisa,Wilfried,Final,1988,0.0,12,21,Dublin ,Luxembourg,Israel,Norway,Yugoslavia,Italy,Ireland,France,Spain,United Kingdom,Denmark
Belgium,Laissez Briller Le Soleil,Reynaert,Final,1988,5.0,16,18,Dublin ,Sweden,France,Norway,Switzerland,Ireland,Spain,Denmark,Luxembourg,Israel,United Kingdom
Denmark,Ka' Du Se Hva' Jeg Sa',Kirsten & Søren,Final,1988,92.0,13,3,Dublin ,Spain,Luxembourg,France,Iceland,Norway,Germany,Ireland,Sweden,United Kingdom,Yugoslavia
Finland,Nauravat Silmät Muistetaan,Boulevard,Final,1988,3.0,3,20,Dublin ,Yugoslavia,Ireland,France,Denmark,Switzerland,Israel,Norway,Italy,United Kingdom,Luxembourg
France,Chanteur De Charme,Gérard Lenorman,Final,1988,64.0,19,10,Dublin ,Switzerland,Iceland,Yugoslavia,Ireland,Belgium,Turkey,Greece,Italy,Israel,Denmark
Germany,Lied Für Einen Freund,Maxi & Chris Garden,Final,1988,48.0,11,14,Dublin ,Norway,Italy,France,Denmark,Israel,Netherlands,Ireland,Turkey,United Kingdom,Switzerland
Greece,Kloun,Aphroditi Fryda,Final,1988,10.0,14,17,Dublin ,Portugal,Luxembourg,Israel,Yugoslavia,France,United Kingdom,Norway,Spain,Switzerland,Netherlands
Iceland,Sókrates,Beathoven,Final,1988,20.0,1,16,Dublin ,United Kingdom,Spain,Sweden,Luxembourg,Norway,Israel,Switzerland,Germany,Denmark,Yugoslavia
Ireland,Take Him Home,Jump the Gun,Final,1988,79.0,10,8,Dublin ,Israel,Netherlands,Yugoslavia,Denmark,Sweden,Germany,United Kingdom,Norway,Switzerland,Luxembourg
Israel,Ben Adam,Yardena Arazi,Final,1988,85.0,8,7,Dublin ,Norway,Spain,Finland,Switzerland,Germany,Denmark,Netherlands,Turkey,United Kingdom,Yugoslavia
Italy,Ti Scrivo,Luca Barbarossa,Final,1988,52.0,18,12,Dublin ,Iceland,Luxembourg,Israel,Norway,Netherlands,Yugoslavia,Switzerland,Spain,Sweden,United Kingdom
Luxembourg,Croire,Lara Fabian,Final,1988,90.0,17,4,Dublin ,Switzerland,Italy,Sweden,Turkey,Israel,Spain,Yugoslavia,United Kingdom,France,Netherlands
Netherlands,Shangri-la,Gerard Joling,Final,1988,70.0,7,9,Dublin ,Turkey,France,Israel,Iceland,Luxembourg,Ireland,Norway,Sweden,Switzerland,Denmark
Norway,For Vår Jord,Karoline Krüger,Final,1988,88.0,15,5,Dublin ,France,Spain,Italy,Germany,United Kingdom,Luxembourg,Ireland,Switzerland,Denmark,Sweden
Portugal,Voltarei,Dora,Final,1988,5.0,20,18,Dublin ,France,Germany,United Kingdom,Luxembourg,Ireland,Denmark,Norway,Iceland,Israel,Switzerland
Spain,La Chica Que Yo Quiero (made In Spain),La Década,Final,1988,58.0,6,11,Dublin ,Denmark,France,Germany,Portugal,Turkey,Israel,Italy,Switzerland,United Kingdom,Ireland
Sweden,Stad I Ljus,Tommy Körberg,Final,1988,52.0,2,12,Dublin ,Iceland,France,Denmark,Turkey,United Kingdom,Yugoslavia,Ireland,Norway,Luxembourg,Switzerland
Switzerland,Ne Partez Pas Sans Moi,Céline Dion,Final,1988,137.0,9,1,Dublin ,Denmark,Yugoslavia,France,Ireland,United Kingdom,Spain,Netherlands,Italy,Israel,Luxembourg
Turkey,Sufi,MFÖ,Final,1988,37.0,5,15,Dublin ,Germany,Ireland,Greece,Italy,Spain,Netherlands,Yugoslavia,France,Switzerland,United Kingdom
United Kingdom,Go,Scott Fitzgerald,Final,1988,136.0,4,2,Dublin ,Turkey,Sweden,Ireland,Israel,Germany,Netherlands,Luxembourg,Yugoslavia,Switzerland,Norway
Yugoslavia,Mangup,Srebrna Krila,Final,1988,87.0,21,6,Dublin ,Israel,Ireland,Luxembourg,Spain,Italy,Switzerland,Netherlands,Germany,Norway,France
Austria,Nur Ein Lied,Thomas Forstner,Final,1989,97.0,13,5,Lausanne ,Switzerland,Cyprus,Finland,Netherlands,France,Portugal,Denmark,United Kingdom,Yugoslavia,Sweden
Belgium,Door De Wind,Ingeborg,Final,1989,13.0,6,19,Lausanne ,Greece,Portugal,Ireland,Denmark,Germany,Sweden,Spain,Norway,Yugoslavia,Austria
Cyprus,Apopse As Vrethoume,Fanny Polymeri and Yiannis Savvidakis,Final,1989,51.0,17,11,Lausanne ,Germany,United Kingdom,Finland,Spain,Yugoslavia,Italy,France,Sweden,Austria,Greece
Denmark,Vi Maler Byen Rød,Birthe Kjær,Final,1989,111.0,12,3,Lausanne ,United Kingdom,Switzerland,France,Austria,Israel,Norway,Germany,Cyprus,Yugoslavia,Sweden
Finland,La Dolce Vita,Anneli Saaristo,Final,1989,76.0,14,7,Lausanne ,Austria,Portugal,France,Netherlands,Israel,United Kingdom,Yugoslavia,Spain,Italy,Denmark
France,J'ai Volé La Vie,Nathalie Pâque,Final,1989,60.0,15,8,Lausanne ,Greece,Sweden,Yugoslavia,Norway,Luxembourg,Denmark,Netherlands,Spain,Finland,United Kingdom
Germany,Flieger,Nino de Angelo,Final,1989,46.0,21,14,Lausanne ,Yugoslavia,France,Israel,Ireland,Austria,Netherlands,Italy,Sweden,Spain,United Kingdom
Greece,To Diko Sou Asteri,Marianna,Final,1989,56.0,19,9,Lausanne ,Netherlands,United Kingdom,Germany,Italy,France,Portugal,Cyprus,Sweden,Spain,Austria
Iceland,Það Sem Enginn Sér,Daníel Augúst Haraldsson,Final,1989,0.0,20,22,Lausanne ,Belgium,Sweden,Germany,Greece,Israel,Yugoslavia,Switzerland,Austria,Denmark,Cyprus
Ireland,The Real Me,Kiev Connolly and the Missing Passengers,Final,1989,21.0,3,18,Lausanne ,Cyprus,Germany,Netherlands,United Kingdom,Belgium,France,Israel,Finland,Denmark,Yugoslavia
Israel,Derech Ha'melech,Gili & Galit,Final,1989,50.0,2,12,Lausanne ,Denmark,Norway,Cyprus,Switzerland,France,Sweden,United Kingdom,Austria,Finland,Yugoslavia
Italy,Avrei Voluto,Anna Oxa and Fausto Leali,Final,1989,56.0,1,9,Lausanne ,Israel,Cyprus,France,Switzerland,Denmark,United Kingdom,Germany,Spain,Netherlands,Austria
Luxembourg,Monsieur,Park Café,Final,1989,8.0,11,20,Lausanne ,Netherlands,Ireland,Denmark,Finland,Yugoslavia,Sweden,Portugal,France,Spain,United Kingdom
Netherlands,Blijf Zoals Je Bent,Justine Pelmelay,Final,1989,45.0,4,15,Lausanne ,Greece,Norway,Israel,France,Belgium,Finland,United Kingdom,Yugoslavia,Switzerland,Denmark
Norway,Venners Nærhet,Britt Synnøve Johansen,Final,1989,30.0,8,17,Lausanne ,Portugal,Belgium,Ireland,Spain,France,Greece,Yugoslavia,Sweden,Denmark,United Kingdom
Portugal,Conquistador,Da Vinci,Final,1989,39.0,9,16,Lausanne ,Finland,Denmark,Switzerland,Yugoslavia,Germany,Cyprus,Italy,Sweden,Greece,United Kingdom
Spain,Nacida Para Amar,Nina,Final,1989,88.0,16,6,Lausanne ,Turkey,Austria,Luxembourg,Greece,Sweden,Netherlands,Finland,Portugal,United Kingdom,Italy
Sweden,En Dag,Tommy Nilsson,Final,1989,110.0,10,4,Lausanne ,France,Norway,Portugal,Finland,Israel,Germany,Austria,Yugoslavia,United Kingdom,Denmark
Switzerland,Viver Senza Tei,Furbaz,Final,1989,47.0,18,13,Lausanne ,Norway,Italy,Sweden,Cyprus,Yugoslavia,Germany,Israel,Austria,Spain,Greece
Turkey,Bana Bana,Pan,Final,1989,5.0,5,21,Lausanne ,United Kingdom,Spain,Austria,Portugal,Norway,Denmark,Ireland,Switzerland,Finland,Yugoslavia
United Kingdom,Why Do I Always Get It Wrong,Live Report,Final,1989,130.0,7,2,Lausanne ,Germany,Israel,Netherlands,Sweden,Greece,Cyprus,Spain,Switzerland,Denmark,Yugoslavia
Yugoslavia,Rock Me,Riva,Final,1989,137.0,22,1,Lausanne ,Denmark,Ireland,France,Turkey,Austria,United Kingdom,Israel,Italy,Finland,Sweden
Austria,Keine Mauern Mehr,Simone,Final,1990,58.0,20,10,Zagreb ,United Kingdom,France,Germany,Belgium,Luxembourg,Denmark,Italy,Spain,Iceland,Ireland
