,1,2,3,4,5,6,7,8,10,12,Year
Sweden,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1985
Switzerland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1985
Turkey,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1985
United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1985
Austria,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1986
Belgium,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1986
Cyprus,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1986
Denmark,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1986
Finland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1986
France,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1986
Germany,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1986
Iceland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1986
Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1986
Israel,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1986
Luxembourg,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1986
Netherlands,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1986
Norway,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1986
Portugal,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1986
Spain,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1986
Sweden,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1986
Switzerland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1986
Turkey,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1986
United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1986
Yugoslavia,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1986
Austria,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
Belgium,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
Cyprus,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
Denmark,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
Finland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
France,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
Germany,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
Greece,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
Iceland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
Israel,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
Italy,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
Luxembourg,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
Netherlands,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
Norway,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
Portugal,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
Spain,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
Sweden,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
Switzerland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
Turkey,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
Yugoslavia,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1987
Austria,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
Belgium,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
Denmark,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
Finland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
France,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
Germany,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
Greece,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
Iceland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
Israel,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
Italy,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
Luxembourg,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
Netherlands,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
Norway,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
Portugal,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
Spain,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
Sweden,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
Switzerland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
Turkey,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
Yugoslavia,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1988
Austria,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
Belgium,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
Cyprus,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
Denmark,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
Finland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
France,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
Germany,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
Greece,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
Iceland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
Israel,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
Italy,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
Luxembourg,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
Netherlands,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
Norway,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
Portugal,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
Spain,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
Sweden,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
Switzerland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
Turkey,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
Yugoslavia,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1989
Austria,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
Belgium,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
Cyprus,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
Denmark,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
Finland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
France,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
Germany,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
Greece,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
Iceland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
Israel,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
Italy,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
Luxembourg,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
Netherlands,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
Norway,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
Portugal,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
Spain,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
Sweden,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
Switzerland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
Turkey,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
Yugoslavia,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1990
Austria,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
Belgium,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
Cyprus,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
Denmark,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
Finland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
France,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
Germany,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
Greece,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
Iceland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
Israel,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
Italy,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
Luxembourg,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
Malta,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
Norway,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
Portugal,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
Spain,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
Sweden,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
Switzerland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
Turkey,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
Yugoslavia,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1991
Austria,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Belgium,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Cyprus,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Denmark,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Finland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
France,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Germany,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Greece,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Iceland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Israel,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Italy,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Luxembourg,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Malta,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Netherlands,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Norway,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Portugal,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Spain,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Sweden,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Switzerland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Turkey,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Yugoslavia,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1992
Austria,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Belgium,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Bosnia & Herzegovina,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Croatia,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Cyprus,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Denmark,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Finland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
France,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Germany,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Greece,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Iceland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Israel,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Italy,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Luxembourg,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Malta,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Netherlands,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Norway,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Portugal,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Slovenia,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Spain,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Sweden,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Switzerland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Turkey,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
United Kingdom,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1993
Austria,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Bosnia & Herzegovina,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Croatia,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Cyprus,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Estonia,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Finland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
France,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Germany,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Greece,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Hungary,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Iceland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Ireland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Lithuania,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Malta,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Netherlands,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Norway,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Poland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Portugal,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Romania,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Russia,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Slovakia,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Spain,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Sweden,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
Switzerland,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,No Crowd,1994
